Folder_Type,Set_Name,Game_Number,Max_Score,Moves_at_Max_Score,Session_Start_Line,Max_Score_Line,Total_Deaths,Real_Deaths,Fake_Deaths,Real_Death_Lines,Fake_Death_Lines
Standard-3-sets-New,set1,1,40,115,8,1298,0,0,0,,
Standard-3-sets-New,set1,2,49,58,4422,5096,1,0,1,,6724
Standard-3-sets-New,set1,3,35,90,8741,9756,3,1,2,11054,9811;10878
Standard-3-sets-New,set1,4,45,167,11776,13627,1,0,1,,12263
Standard-3-sets-New,set1,5,45,44,16116,18781,3,1,2,18286,17219;17450
Standard-3-sets-New,set1,6,35,36,20670,21069,2,0,2,,21256;22851
Standard-3-sets-New,set1,7,40,42,24928,25404,1,0,1,,25822
Standard-3-sets-New,set1,8,45,44,29304,29791,0,0,0,,
Standard-3-sets-New,set1,9,44,36,33575,33974,1,0,1,,34291
Standard-3-sets-New,set1,10,40,24,37844,38111,1,0,1,,39728
Standard-3-sets-New,set2,1,40,29,8,330,0,0,0,,
Standard-3-sets-New,set2,2,45,66,4286,6951,2,0,2,,5422;6203
Standard-3-sets-New,set2,3,50,94,7546,8605,0,0,0,,
Standard-3-sets-New,set2,4,40,37,11846,12267,0,0,0,,
Standard-3-sets-New,set2,5,44,32,16226,16592,2,0,2,,16691;18803
Standard-3-sets-New,set2,6,45,28,20486,20797,1,0,1,,22370
Standard-3-sets-New,set2,7,45,214,24852,27220,0,0,0,,
Standard-3-sets-New,set2,8,44,32,29073,29439,1,0,1,,30209
Standard-3-sets-New,set2,9,50,54,33437,34045,2,0,2,,34375;35607
Standard-3-sets-New,set2,10,40,19,37885,38097,1,0,1,,38691
Standard-3-sets-New,set3,1,39,157,8,1793,2,0,2,,286;2200
Standard-3-sets-New,set3,2,40,76,4328,5178,1,0,1,,5266
Standard-3-sets-New,set3,3,49,155,8624,10332,0,0,0,,
Standard-3-sets-New,set3,4,35,45,12907,13405,1,0,1,,13493
Standard-3-sets-New,set3,5,49,84,17087,18058,1,0,1,,18201
Standard-3-sets-New,set3,6,35,13,21432,21578,2,0,2,,21666;24152
Standard-3-sets-New,set3,7,40,72,25714,26597,0,0,0,,
Standard-3-sets-New,set3,8,54,232,29777,32376,0,0,0,,
Standard-3-sets-New,set3,9,44,32,34138,34504,1,0,1,,36297
Standard-3-sets-New,set3,10,40,23,38462,38718,0,0,0,,
REACT-3-sets-New,set1,1,124,133,8,1474,1,0,1,,1650
REACT-3-sets-New,set1,2,135,132,3455,4961,1,0,1,,5005
REACT-3-sets-New,set1,3,100,140,6948,8535,0,0,0,,
REACT-3-sets-New,set1,4,170,242,11321,14020,0,0,0,,
REACT-3-sets-New,set1,5,168,193,15799,17991,1,0,1,,18002
REACT-3-sets-New,set1,6,74,43,20240,20716,4,1,3,22355,21090;21915;22113
REACT-3-sets-New,set1,7,196,229,24159,26703,0,0,0,,
REACT-3-sets-New,set1,8,144,139,28575,30943,1,0,1,,29381
REACT-3-sets-New,set1,9,134,125,32566,33944,1,0,1,,34021
REACT-3-sets-New,set1,10,189,212,36158,38611,1,0,1,,38688
REACT-3-sets-New,set2,1,93,188,8,2143,2,0,2,,616;737
REACT-3-sets-New,set2,2,90,106,4439,7170,1,0,1,,5949
REACT-3-sets-New,set2,3,44,44,7977,8501,0,0,0,,
REACT-3-sets-New,set2,4,45,25,12308,12586,1,0,1,,12773
REACT-3-sets-New,set2,5,129,113,53862,56494,1,0,1,,55240
REACT-3-sets-New,set2,6,159,236,57527,60277,0,0,0,,
REACT-3-sets-New,set2,7,130,208,62040,64373,0,0,0,,
REACT-3-sets-New,set2,8,220,237,66628,69271,0,0,0,,
REACT-3-sets-New,set2,9,119,106,71128,73859,3,1,2,72671,71956;72363
REACT-3-sets-New,set2,10,70,125,75556,77007,1,0,1,,76083
REACT-3-sets-New,set3,1,147,200,8,2211,0,0,0,,
REACT-3-sets-New,set3,2,120,130,4419,6030,0,0,0,,
REACT-3-sets-New,set3,3,185,195,9051,11430,0,0,0,,
REACT-3-sets-New,set3,4,55,60,13806,14553,3,1,2,16402,15861;16174
REACT-3-sets-New,set3,5,64,39,17070,17541,2,0,2,,19305;19845
REACT-3-sets-New,set3,6,134,135,20223,22969,1,0,1,,21325
REACT-3-sets-New,set3,7,212,243,24321,27264,0,0,0,,
REACT-3-sets-New,set3,8,124,115,29055,30462,1,0,1,,30654
REACT-3-sets-New,set3,9,165,239,32870,35777,0,0,0,,
REACT-3-sets-New,set3,10,54,91,37585,38716,0,0,0,,
Action-3-sets-New,set1,1,55,40,8,1221,5,1,4,770,341;605;1672;1848
Action-3-sets-New,set1,2,95,222,4378,6889,0,0,0,,
Action-3-sets-New,set1,3,90,139,8669,10245,1,0,1,,10388
Action-3-sets-New,set1,4,174,183,13007,15056,1,0,1,,15331
Action-3-sets-New,set1,5,55,33,17405,18860,2,0,2,,18486;19080
Action-3-sets-New,set1,6,75,147,20799,22452,2,0,2,,21594;21880
Action-3-sets-New,set1,7,84,88,25090,26072,2,0,2,,26435;27469
Action-3-sets-New,set1,8,115,123,28092,29492,0,0,0,,
Action-3-sets-New,set2,1,60,91,8,1056,2,0,2,,2409;2629
Action-3-sets-New,set2,2,65,211,4439,6818,2,0,2,,4871;6411
Action-3-sets-New,set2,3,95,144,8814,10434,1,0,1,,10467
Action-3-sets-New,set2,4,45,22,13138,13383,3,1,2,15825,14670;14824
Action-3-sets-New,set2,5,79,86,17527,18883,1,0,1,,17926
Action-3-sets-New,set2,6,105,240,21680,24400,1,0,1,,22992
Action-3-sets-New,set2,7,55,33,26036,26402,4,1,3,28338,27260;27403;28734
Action-3-sets-New,set2,8,115,122,30418,31796,0,0,0,,
Action-3-sets-New,set2,9,70,158,34793,36622,4,1,3,36864,35390;36677;37370
Action-3-sets-New,set2,10,55,37,39264,39674,5,1,4,41247,40862;41049;41709;41973
Action-3-sets-New,set2,11,95,76,42065,42915,2,0,2,,43025;43223
Action-3-sets-New,set2,12,95,151,46407,48093,1,0,1,,48115
Action-3-sets-New,set3,1,55,37,8,418,2,0,2,,770;891
Action-3-sets-New,set3,2,74,52,4344,6360,5,0,5,,5095;5612;5766;6514;7064
Action-3-sets-New,set3,3,95,243,7492,10234,0,0,0,,
Action-3-sets-New,set3,4,120,141,11891,14424,2,0,2,,12653;12840
Action-3-sets-New,set3,5,55,33,15817,16194,5,1,4,17426,17118;17294;18009;18185
Action-3-sets-New,set3,6,60,105,19277,20479,0,0,0,,
Action-3-sets-New,set3,7,150,242,23667,26387,0,0,0,,
Action-3-sets-New,set3,8,85,75,28120,28970,2,0,2,,28992;29157
Action-3-sets-New,set3,9,55,37,32452,34314,5,0,5,,32917;33148;33896;34801;34966
Action-3-sets-New,set3,10,99,168,35390,37274,1,0,1,,37384
