Folder_Type,Set_Name,Game_Number,Max_Score,Moves_at_Max_Score,Session_Start_Line,Max_Score_Line,Total_Deaths,Real_Deaths,Fake_Deaths,Real_Death_Lines,Fake_Death_Lines
TREACT-3-sets-New,set1,1,54,36,1,278,0,0,0,,
TREACT-3-sets-New,set1,2,60,82,1,561,0,0,0,,
TREACT-3-sets-New,set1,3,49,34,1,258,0,0,0,,
TREACT-3-sets-New,set1,4,45,71,1,475,0,0,0,,
TREACT-3-sets-New,set1,5,50,39,1,278,0,0,0,,
TREACT-3-sets-New,set1,6,54,75,1,529,0,0,0,,
TREACT-3-sets-New,set1,7,50,70,1,484,0,0,0,,
TREACT-3-sets-New,set1,8,54,71,1,506,0,0,0,,
TREACT-3-sets-New,set1,9,60,70,1,541,0,0,0,,
TREACT-3-sets-New,set1,10,55,72,1,481,0,0,0,,
TREACT-3-sets-New,set2,1,44,50,1,342,0,0,0,,
TREACT-3-sets-New,set2,2,75,80,1,570,0,0,0,,
TREACT-3-sets-New,set2,3,45,37,1,262,0,0,0,,
TREACT-3-sets-New,set2,4,59,75,1,550,0,0,0,,
TREACT-3-sets-New,set2,5,50,46,1,388,0,0,0,,
TREACT-3-sets-New,set2,6,69,75,1,553,0,0,0,,
TREACT-3-sets-New,set2,7,54,71,1,516,0,0,0,,
TREACT-3-sets-New,set2,8,79,89,1,649,0,0,0,,
TREACT-3-sets-New,set2,9,83,70,1,513,0,0,0,,
TREACT-3-sets-New,set2,10,50,46,1,388,0,0,0,,
TREACT-3-sets-New,set3,1,54,45,1,330,0,0,0,,
TREACT-3-sets-New,set3,2,39,17,1,133,0,0,0,,
TREACT-3-sets-New,set3,3,60,66,1,495,0,0,0,,
TREACT-3-sets-New,set3,4,75,79,1,592,0,0,0,,
TREACT-3-sets-New,set3,5,60,50,1,378,0,0,0,,
TREACT-3-sets-New,set3,6,69,64,1,472,0,0,0,,
TREACT-3-sets-New,set3,7,44,35,1,265,0,0,0,,
TREACT-3-sets-New,set3,8,54,50,1,370,0,0,0,,
TREACT-3-sets-New,set3,9,50,80,1,510,0,0,0,,
TREACT-3-sets-New,set3,10,54,72,1,517,0,0,0,,
